symbol,entity_id,whyfail
HOCN.SW,HOCN.SW,emptyfail
LLAI.L,LLAI.L,emptyfail
EQLS,EQLS,emptyfail
WUSA,WUSA,emptyfail
SCY,SCY,emptyfail
SPQ,SPQ,emptyfail
NXTV,NXTV,emptyfail
GDVM,GDVM,emptyfail
KSEA,KSEA,emptyfail
KEM,KEM,emptyfail
KALL,KALL,emptyfail
PGHL,PGHL,emptyfail
FNGA,FNGA,emptyfail
FNGB,FNGB,emptyfail
LNGZ,LNGZ,emptyfail
MOEU.MU,MOEU.MU,emptyfail
EATV,EATV,emptyfail
HANK.V,HANK.V,emptyfail
PRFIX,PRFIX,emptyfail
PFPLX,PFPLX,emptyfail
SDVP.L,SDVP.L,emptyfail
HDRO,HDRO,emptyfail
PITA,PITA,emptyfail
CRUZ,CRUZ,emptyfail
QIE.TO,QIE.TO,emptyfail
RCMFX,RCMFX,emptyfail
QUS.TO,QUS.TO,emptyfail
MGLD.V,MGLD.V,emptyfail
MPAY,MPAY,emptyfail
RSCYX,RSCYX,emptyfail
LVOL,LVOL,emptyfail
REICX,REICX,emptyfail
URAX,URAX,emptyfail
HSUN,HSUN,emptyfail
RBNEV,RBNEV,emptyfail
TOROV,TOROV,emptyfail
HSRT,HSRT,emptyfail
FRGE.L,FRGE.L,emptyfail
FLXG.L,FLXG.L,emptyfail
RAHME.BO,RAHME.BO,emptyfail
EFIX,EFIX,emptyfail
CLNR,CLNR,emptyfail
OCEN,OCEN,emptyfail
TCTM,TCTM,emptyfail
STSB,STSB,emptyfail
FGB.TO,FGB.TO,emptyfail
FMBIX,FMBIX,emptyfail
APRQ,APRQ,emptyfail
APRD,APRD,emptyfail
KPOP,KPOP,emptyfail
S6P.DE,S6P.DE,emptyfail
XDAP,XDAP,emptyfail
SQY,SQY,emptyfail
ARKY,ARKY,emptyfail
ARKC,ARKC,emptyfail
UTRN,UTRN,emptyfail
PMNT.L,PMNT.L,emptyfail
PRMN,PRMN,emptyfail
PAYG.L,PAYG.L,emptyfail
RISEX,RISEX,emptyfail
KRUZ,KRUZ,emptyfail
ISDB,ISDB,emptyfail
NETZ,NETZ,emptyfail
RNSC,RNSC,emptyfail
GFOF.L,GFOF.L,emptyfail
EBLU,EBLU,emptyfail
CRIT,CRIT,emptyfail
HRAA.TO,HRAA.TO,emptyfail
IMSI,IMSI,emptyfail
NUSI,NUSI,emptyfail
SKYP.L,SKYP.L,emptyfail
BIGZ,BIGZ,emptyfail
RYE,RYE,emptyfail
RNMC,RNMC,emptyfail
QSWN,QSWN,emptyfail
SFIG,SFIG,emptyfail
340570.KS,340570.KS,emptyfail
IQL.DE,IQL.DE,emptyfail
023910.KS,023910.KS,emptyfail
MVPS,MVPS,emptyfail
BLB-UN.TO,BLB-UN.TO,emptyfail
HYMU,HYMU,emptyfail
PP,PP,emptyfail
DLMOX,DLMOX,emptyfail
RHLDV,RHLDV,emptyfail
CATH.L,CATH.L,emptyfail
WDCVV,WDCVV,emptyfail
FLDD,FLDD,emptyfail
LCWD.L,LCWD.L,emptyfail
EMCC,EMCC,emptyfail
FYLG,FYLG,emptyfail
LCWL.L,LCWL.L,emptyfail
GLLHF,GLLHF,emptyfail
USCF,USCF,emptyfail
AFRI.ST,AFRI.ST,emptyfail
CARDEO.ST,CARDEO.ST,emptyfail
CRET.ST,CRET.ST,emptyfail
066970.KQ,066970.KQ,emptyfail
GTG.ST,GTG.ST,emptyfail
EOID.ST,EOID.ST,emptyfail
NOSIUM-B.ST,NOSIUM-B.ST,emptyfail
SARS.ST,SARS.ST,emptyfail
DXSI.DE,DXSI.DE,emptyfail
AGAQX,AGAQX,emptyfail
LTSH,LTSH,emptyfail
NHYMX,NHYMX,emptyfail
LCUS.L,LCUS.L,emptyfail
LCUD.L,LCUD.L,emptyfail
RINC.AX,RINC.AX,emptyfail
KARRX,KARRX,emptyfail
FATBV,FATBV,emptyfail
MJUS,MJUS,emptyfail
FATAV,FATAV,emptyfail
HUDRF,HUDRF,emptyfail
FAIL,FAIL,emptyfail
DSUS.L,DSUS.L,emptyfail
TWIO,TWIO,emptyfail
EMMG.AX,EMMG.AX,emptyfail
IQDE,IQDE,emptyfail
EINC.AX,EINC.AX,emptyfail
BREA.TO,BREA.TO,emptyfail
HQU.TO,HQU.TO,emptyfail
HZU.TO,HZU.TO,emptyfail
HXU.TO,HXU.TO,emptyfail
HSU.TO,HSU.TO,emptyfail
HRED.TO,HRED.TO,emptyfail
HGD.TO,HGD.TO,emptyfail
HFU.TO,HFU.TO,emptyfail
HGU.TO,HGU.TO,emptyfail
HBU.TO,HBU.TO,emptyfail
HFD.TO,HFD.TO,emptyfail
HEU.TO,HEU.TO,emptyfail
HUV.TO,HUV.TO,emptyfail
HIX.TO,HIX.TO,emptyfail
HIU.TO,HIU.TO,emptyfail
HED.TO,HED.TO,emptyfail
HQD.TO,HQD.TO,emptyfail
GREI,GREI,emptyfail
GPOW,GPOW,emptyfail
SMRU.L,SMRU.L,emptyfail
BRZ.L,BRZ.L,emptyfail
WFRPX,WFRPX,emptyfail
RVNG,RVNG,emptyfail
WAGCX,WAGCX,emptyfail
GCLN,GCLN,emptyfail
NBGR,NBGR,emptyfail
FIRNX,FIRNX,emptyfail
FMRHX,FMRHX,emptyfail
FIRUX,FIRUX,emptyfail
FIRRX,FIRRX,emptyfail
FIRWX,FIRWX,emptyfail
PPZRX,PPZRX,emptyfail
XDJA,XDJA,emptyfail
FM,FM,emptyfail
GEAR,GEAR,emptyfail
SOT-UN.TO,SOT-UN.TO,emptyfail
GDMOX,GDMOX,emptyfail
WEIX,WEIX,emptyfail
FRES,FRES,emptyfail
BUFE.L,BUFE.L,emptyfail
NHYF,NHYF,emptyfail
AHOY,AHOY,emptyfail
