as_of,logged_at,filter_commit,list,rank,ticker,company,aggscore
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,16,LSC.L,London Security plc,0.09901682102677112
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,17,MOV,"Movado Group, Inc.",0.09038357772910909
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,18,TWC.TO,TWC Enterprises Limited,0.08886850008977126
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,19,RFX.L,Ramsdens Holdings PLC,0.08143804296073595
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,GENERAL,20,STNG,Scorpio Tankers Inc.,0.08028543863848969
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,1,0Q76.L,CBo Territoria S.A.,3.657106930139692
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,2,MRD.TO,Melcor Developments Ltd.,2.5960388176815643
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,3,FOXT.L,Foxtons Group plc,2.1689428171968554
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,4,ACRI-A.ST,Acrinova AB (publ),1.573573970870326
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,5,NIVI-B.ST,Nivika Fastigheter AB (publ),1.2028017813435143
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,6,CHCI,"Comstock Holding Companies, Inc.",0.6882164408282941
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,7,INS.DE,Instone Real Estate Group SE,-0.639549002920357
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,8,DEQ.DE,Deutsche EuroShop AG,-0.914751083812511
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,9,OLP,"One Liberty Properties, Inc.",-1.171065624760707
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,10,LOAN,"Manhattan Bridge Capital, Inc.",-1.2989131174125501
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,11,OHI,"Omega Healthcare Investors, Inc.",-1.3783107069056417
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,12,KIM,Kimco Realty Corporation,-1.5295523736013577
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,13,VICI,VICI Properties Inc.,-1.8432799974688916
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,14,0QU6.L,HIAG Immobilien Holding AG,-1.8538404315559824
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,REIT,15,0JR1.L,Kimco Realty Corporation,-2.168515509682037
