pool,source,status,n_capped,metric_before,contrib_before,share_before,share_after,cap_value,base_before,base_after,agg_delta
general,PSI.TO,ok,0,CycleHeat,0.09799742413256377,0.15580720471005377,0.15580720471005377,,0.6289659346301095,0.6289659346301095,0.0
general,DTE.DE,ok,0,freeCashFlowYield,0.10382995839352284,0.12418024343558186,0.12418024343558186,,0.836123005729042,0.836123005729042,0.0
general,STX,ok,0,CycleHeat,-0.14224160478320624,0.14089665916122537,0.14089665916122537,,1.0095456175468425,1.0095456175468425,0.0
general,LNTH,ok,0,freeCashFlowPerShareGrowth,0.2025146532767702,0.2498346229834457,0.2498346229834457,,0.810594828124319,0.810594828124319,0.0
general,ZD,ok,0,CycleHeat,-0.14610978056758367,0.22460341500043068,0.22460341500043068,,0.6505234150927914,0.6505234150927914,0.0
general,000270.KS,ok,0,earnYield,0.26085010950809023,0.2425887046313608,0.2425887046313608,,1.07527722654886,1.07527722654886,0.0
general,GBF.DE,ok,0,incomeQuality,-0.0738074436412424,0.17583328288796116,0.17583328288796116,,0.41975809374082845,0.41975809374082845,0.0
general,SNA,infeasible,0,Piotroski,-0.0531029994875309,0.4682186405193814,0.4682186405193814,,0.11341496235311196,0.11341496235311196,0.0
general,MPE.L,ok,0,earnYield,0.15533217676427377,0.19725423201526215,0.19725423201526215,,0.7874719603088427,0.7874719603088427,0.0
general,STRT,ok,0,bVpRatio,0.13944745455827126,0.21407836673894431,0.21407836673894431,,0.6513850823998439,0.6513850823998439,0.0
general,MGY,ok,1,incomeQuality,0.23364631480022932,0.3157826620552432,0.25,0.1687498805800478,0.7398959565403724,0.6749995223201912,-0.06489643422018154
general,LIGHT.AS,ok,0,CycleHeat,0.1606969058690729,0.18086698632951465,0.18086698632951465,,0.8884811381569954,0.8884811381569954,0.0
general,FTDR,ok,0,CycleHeat,-0.1142081929831335,0.17825886307961583,0.17825886307961583,,0.6406873184876347,0.6406873184876347,0.0
general,FMS,ok,0,bVpRatio,0.11267351382840196,0.16870623997233672,0.16870623997233672,,0.6678680874333836,0.6678680874333836,0.0
general,WIT,ok,1,incomeQuality,0.2842181371881995,0.43006917740793976,0.25000000000000006,0.12554931875498712,0.6608660934531607,0.5021972750199484,-0.15866881843321243
general,MAU.PA,ok,1,earnYield,0.26662382798179224,0.2611352605957261,0.25,0.25146475780574973,1.0210181013990416,1.005859031222999,-0.015159070176042455
general,BETS-B.ST,ok,0,earnYield,0.14600115406754646,0.18899751897472125,0.18899751897472125,,0.772503019402463,0.772503019402463,0.0
general,EQNR,ok,0,earnYield,0.1863389344853714,0.23809770862392673,0.23809770862392673,,0.7826154042485647,0.7826154042485647,0.0
general,VTEX,ok,0,earnYield,-0.13750995037301858,0.15885947594407157,0.15885947594407157,,0.8656074782811863,0.8656074782811863,0.0
general,271560.KS,ok,0,freeCashFlowPerShareGrowth,-0.22712938777827094,0.23038627570333453,0.23038627570333453,,0.9858633596332038,0.9858633596332038,0.0
general,EVO.ST,ok,0,RoA,0.10714917075854738,0.17657818507473433,0.17657818507473433,,0.6068086537031624,0.6068086537031624,0.0
general,GETI-B.ST,ok,0,incomeQuality,-0.06523248732725202,0.15898767619604576,0.15898767619604576,,0.41029901743336783,0.41029901743336783,0.0
general,009150.KS,ok,0,freeCashFlowYield,-0.06379899733983124,0.12943794006619694,0.12943794006619694,,0.49289255767824536,0.49289255767824536,0.0
general,IPN.PA,ok,0,incomeQuality,0.07169262185389516,0.19154484708104327,0.19154484708104327,,0.3742863509325405,0.3742863509325405,0.0
general,ORK.OL,ok,1,freeCashFlowPerShareGrowth,0.221405483753999,0.30381973516494676,0.25000000000000006,0.1691113846747633,0.728739637778289,0.6764455386990531,-0.05229409907923569
