source,verdict,dollarVolume_usd,dollarVolume_basis,floor_usd
ESSITY-A.ST,ejected_below_floor,570144.54285,2026-08-21|SEK,1000000.0
0UWL.L,ejected_below_floor,1623.046792,2026-08-21|CAD,1000000.0
RICO.L,ejected_below_floor,167928.664288,2026-08-21|JPY,1000000.0
000050.KS,ejected_below_floor,304080.0234172155,2026-08-21|KRW,1000000.0
DP4B.DE,ejected_below_floor,117070.457,2026-08-21|EUR,1000000.0
EDL.DE,ejected_below_floor,17914.2623508,2026-08-21|EUR,1000000.0
ALDLT.PA,ejected_below_floor,58619.141619999995,2026-08-21|EUR,1000000.0
096760.KS,ejected_below_floor,296485.96286121075,2026-08-21|KRW,1000000.0
TECK-A.TO,ejected_below_floor,520547.97194400005,2026-08-21|CAD,1000000.0
ALVU.PA,ejected_below_floor,55614.585739999995,2026-08-21|EUR,1000000.0
VETO.PA,ejected_below_floor,713109.42747,2026-08-21|EUR,1000000.0
MTU.PA,ejected_below_floor,353282.74305800005,2026-08-21|EUR,1000000.0
LPE.PA,ejected_below_floor,274440.18987999996,2026-08-21|EUR,1000000.0
0O1O.L,ejected_below_floor,11568.822144000002,2026-08-21|EUR,1000000.0
TAGM-B.ST,ejected_below_floor,84675.81820000001,2026-08-21|SEK,1000000.0
0DK7.L,ejected_below_floor,1409.740416,2026-08-21|EUR,1000000.0
JEN.BR,ejected_below_floor,307655.79988,2026-08-21|EUR,1000000.0
HMM-A.TO,ejected_below_floor,273880.51936,2026-08-21|CAD,1000000.0
0OQQ.L,ejected_below_floor,1649.999995,2026-08-21|EUR,1000000.0
INF.PA,ejected_below_floor,172607.53965,2026-08-21|EUR,1000000.0
0HYP.L,ejected_below_floor,117222.3,2026-08-21|USD,1000000.0
IC2.DE,ejected_below_floor,8514.291339200001,2026-08-21|EUR,1000000.0
ADP.DE,ejected_below_floor,43454.467464999994,2026-08-21|EUR,1000000.0
PGH.L,ejected_below_floor,236154.77372025,2026-08-21|GBp,1000000.0
UZU.DE,ejected_below_floor,34541.437296000004,2026-08-21|EUR,1000000.0
DEQ.DE,ejected_below_floor,163835.821506,2026-08-21|EUR,1000000.0
0ABJ.L,ejected_below_floor,619906.2517201554,2026-08-21|SEK,1000000.0
CHV.DE,ejected_below_floor,694381.7206576,2026-08-21|EUR,1000000.0
FFARM.AS,ejected_below_floor,714712.7974104,2026-08-21|EUR,1000000.0
EBA.DE,ejected_below_floor,34141.1717136,2026-08-21|EUR,1000000.0
JEL.L,ejected_below_floor,18557.044968,2026-08-21|GBp,1000000.0
ELIX.L,ejected_below_floor,600525.1619808,2026-08-21|GBp,1000000.0
YGR.TO,ejected_below_floor,178672.80835600002,2026-08-21|CAD,1000000.0
KEI.TO,ejected_below_floor,126399.82073200002,2026-08-21|CAD,1000000.0
3V64.DE,ejected_below_floor,772995.0744719999,2026-08-21|EUR,1000000.0
DLCG.TO,ejected_below_floor,214790.01913200002,2026-08-21|CAD,1000000.0
REP.DE,ejected_below_floor,422723.355597,2026-08-21|EUR,1000000.0
AKVA.OL,ejected_below_floor,65452.60512,2026-08-21|NOK,1000000.0
HMSB.DE,ejected_below_floor,7625.8087355,2026-08-21|EUR,1000000.0
SNX.ST,ejected_below_floor,74415.12549,2026-08-21|SEK,1000000.0
KFI1.DE,ejected_below_floor,4228.63385616,2026-08-21|EUR,1000000.0
SDG.PA,ejected_below_floor,43718.968612,2026-08-21|EUR,1000000.0
0HDQ.L,ejected_below_floor,704.870208,2026-08-21|EUR,1000000.0
STGO.TO,ejected_below_floor,512719.781364,2026-08-21|CAD,1000000.0
BEIA-B.ST,ejected_below_floor,990484.7253,2026-08-21|SEK,1000000.0
SOF-B.ST,ejected_below_floor,43406.505769,2026-08-21|SEK,1000000.0
F3A.DE,ejected_below_floor,185229.82108799997,2026-08-21|EUR,1000000.0
